OBJECT_NAME,OBJECT_ID,EPOCH,INCLINATION,ECCENTRICITY,MEAN_MOTION,Altitude_KM,Orbit_Zone,Collision_Risk_Score
IRIDIUM 33 DEB,1997-051QA,2026-07-08T14:43:22.929312,86.3555,0.00157097,14.507475,723.21,LEO (Low Earth Orbit),45.89
IRIDIUM 33 DEB,1997-051QE,2026-07-06T22:30:55.651968,86.3413,0.00148904,15.17967349,511.98,LEO (Low Earth Orbit),80.7
IRIDIUM 33 DEB,1997-051QJ,2026-07-09T00:33:43.689312,86.3242,0.00253608,14.87522896,605.68,LEO (Low Earth Orbit),64.93
IRIDIUM 33 DEB,1997-051QN,2026-07-10T03:34:30.029088,86.3498,0.00106807,14.87591738,605.46,LEO (Low Earth Orbit),64.97
IRIDIUM 33 DEB,1997-051QQ,2026-06-27T13:14:56.038272,86.3394,0.00304968,14.53076507,715.62,LEO (Low Earth Orbit),47.09
IRIDIUM 33 DEB,1997-051QS,2026-07-09T06:34:27.801696,86.3856,0.01282254,14.42387337,750.62,LEO (Low Earth Orbit),41.56
IRIDIUM 33 DEB,1997-051QU,2026-07-07T09:09:03.977856,86.1851,0.0011189,15.30351201,474.76,LEO (Low Earth Orbit),87.12
IRIDIUM 33 DEB,1997-051QX,2026-07-09T01:24:30.256992,86.1901,0.01015991,14.31993373,785.08,LEO (Low Earth Orbit),36.17
IRIDIUM 33 DEB,1997-051RA,2026-07-09T23:48:16.757568,86.3545,0.00091057,14.70731223,658.73,LEO (Low Earth Orbit),56.24
IRIDIUM 33 DEB,1997-051RD,2026-07-09T13:32:02.279328,86.3668,0.00183911,14.478402,732.71,LEO (Low Earth Orbit),44.38
IRIDIUM 33 DEB,1997-051RJ,2026-07-05T01:26:28.154112,86.1013,0.0145471,14.23217944,814.49,LEO (Low Earth Orbit),31.63
IRIDIUM 33 DEB,1997-051RX,2026-07-09T08:28:22.936800,86.3271,0.00200995,14.73735415,649.17,LEO (Low Earth Orbit),57.79
IRIDIUM 33 DEB,1997-051SF,2026-07-09T09:32:42.773856,86.333,0.00131467,14.88678996,602.06,LEO (Low Earth Orbit),65.53
IRIDIUM 33 DEB,1997-051SQ,2026-07-05T14:04:03.506880,86.342,0.00156905,14.59469709,694.89,LEO (Low Earth Orbit),50.4
IRIDIUM 33 DEB,1997-051ST,2026-07-01T22:18:25.871904,86.3246,0.00088392,14.79993096,629.35,LEO (Low Earth Orbit),61.03
IRIDIUM 33 DEB,1997-051SW,2026-07-09T03:10:07.454208,86.3766,0.00172863,14.43930744,745.54,LEO (Low Earth Orbit),42.36
IRIDIUM 33 DEB,1997-051SY,2026-07-09T23:58:15.437856,86.3867,0.00085346,14.83671813,617.76,LEO (Low Earth Orbit),62.94
IRIDIUM 33 DEB,1997-051TA,2026-07-09T22:01:17.678208,86.3459,0.00099479,14.83727378,617.58,LEO (Low Earth Orbit),62.97
IRIDIUM 33 DEB,1997-051TY,2026-07-07T10:41:41.992224,86.3398,0.00111506,14.86411017,609.16,LEO (Low Earth Orbit),64.36
IRIDIUM 33 DEB,1997-051UB,2026-07-05T17:39:33.153696,86.4027,0.00251749,14.5286447,716.31,LEO (Low Earth Orbit),46.98
IRIDIUM 33 DEB,1997-051UN,2026-07-05T19:11:20.567040,86.3391,0.00084935,15.19668439,506.84,LEO (Low Earth Orbit),81.58
IRIDIUM 33 DEB,1997-051US,2026-07-09T15:22:33.055968,86.3415,0.00165097,14.41971273,751.99,LEO (Low Earth Orbit),41.34
IRIDIUM 33 DEB,1997-051UT,2026-07-11T01:16:13.058688,86.4419,0.0216086,14.21457259,820.43,LEO (Low Earth Orbit),30.72
IRIDIUM 33 DEB,1997-051VK,2026-07-05T18:42:07.044480,86.3177,0.00153431,15.06128326,548.04,LEO (Low Earth Orbit),74.57
IRIDIUM 33 DEB,1997-051VM,2026-07-05T13:25:16.830048,86.3205,0.00173422,14.47430522,734.05,LEO (Low Earth Orbit),44.17
IRIDIUM 33 DEB,1997-051VQ,2026-07-09T01:54:02.467872,86.3439,0.00241211,14.43952449,745.47,LEO (Low Earth Orbit),42.37
IRIDIUM 33 DEB,1997-051VU,2026-07-07T19:08:44.011968,86.2901,0.00298954,14.76154496,641.49,LEO (Low Earth Orbit),59.05
IRIDIUM 33 DEB,1997-051VZ,2026-07-09T15:28:02.050752,86.3807,0.00104866,14.46545527,736.95,LEO (Low Earth Orbit),43.71
IRIDIUM 33 DEB,1997-051WG,2026-07-08T11:47:23.020224,86.3614,0.00044138,14.81256581,625.36,LEO (Low Earth Orbit),61.69
IRIDIUM 33 DEB,1997-051WK,2026-07-09T13:08:59.923392,86.3559,0.00093679,14.68018215,667.4,LEO (Low Earth Orbit),54.83
IRIDIUM 33 DEB,1997-051WP,2026-07-05T15:58:19.175808,86.1553,0.0047362,14.66421489,672.52,LEO (Low Earth Orbit),54.0
IRIDIUM 33 DEB,1997-051XG,2026-07-03T22:02:49.486848,86.171,0.00778711,14.28364736,797.2,LEO (Low Earth Orbit),34.29
IRIDIUM 33 DEB,1997-051XH,2026-06-30T02:41:11.798304,86.35,0.00227774,14.52744813,716.7,LEO (Low Earth Orbit),46.92
IRIDIUM 33 DEB,1997-051XK,2026-07-10T00:31:34.986144,86.3757,0.0005579,14.70271995,660.2,LEO (Low Earth Orbit),56.0
IRIDIUM 33 DEB,1997-051XX,2026-07-10T02:51:40.254624,86.3745,0.00260784,14.58476903,698.1,LEO (Low Earth Orbit),49.89
IRIDIUM 33 DEB,1997-051YA,2026-07-10T12:34:38.752032,86.3477,0.00150924,14.52439942,717.69,LEO (Low Earth Orbit),46.76
IRIDIUM 33 DEB,1997-051YD,2026-07-08T03:08:13.817472,86.3307,0.00787572,14.53566294,714.02,LEO (Low Earth Orbit),47.35
IRIDIUM 33 DEB,1997-051YJ,2026-07-07T13:10:49.999584,86.2675,0.00460971,14.42802459,749.25,LEO (Low Earth Orbit),41.77
IRIDIUM 33 DEB,1997-051YQ,2026-07-08T11:38:23.889408,86.3256,0.00294867,14.46773131,736.21,LEO (Low Earth Orbit),43.83
IRIDIUM 33 DEB,1997-051ZC,2026-07-07T16:57:19.257696,86.2956,0.00619615,14.27617118,799.71,LEO (Low Earth Orbit),33.91
IRIDIUM 33 DEB,1997-051ZR,2026-07-06T22:40:00.404832,86.32,0.00059133,14.56138694,705.67,LEO (Low Earth Orbit),48.68
IRIDIUM 33 DEB,1997-051AAB,2026-07-08T12:06:07.662240,86.3442,0.00288035,14.51630404,720.33,LEO (Low Earth Orbit),46.34
