OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051MY,2026-07-09T21:05:58.053696,14.68235551,.00239025,86.3274,232.7107,214.9533,269.1836,0,U,34896,999,90686,.35457577E-3,.2074E-4,0
IRIDIUM 33 DEB,1997-051NF,2026-07-11T04:46:21.327744,14.62772891,.0066646,86.1302,269.9132,301.6610,87.0873,0,U,34926,999,89526,.8867E-3,.469E-4,0
IRIDIUM 33 DEB,1997-051NR,2026-07-10T08:56:41.671392,14.42870402,.00191873,86.3713,327.4013,249.6927,138.4584,0,U,34985,999,90197,.31772307E-3,.1082E-4,0
IRIDIUM 33 DEB,1997-051NX,2026-07-10T12:45:59.093280,14.48550383,.0010703,86.3226,277.3430,108.7733,251.4633,0,U,35051,999,90032,.2862E-3,.1095E-4,0
IRIDIUM 33 DEB,1997-051NY,2026-07-10T13:34:57.545184,14.38747424,.0013598,86.3308,290.5168,111.6741,248.5907,0,U,35052,999,90292,.93943E-4,.309E-5,0
IRIDIUM 33 DEB,1997-051PF,2026-07-04T14:47:24.799200,15.55227130,.00144083,86.2025,311.5906,256.2023,103.7635,0,U,35080,999,72761,.25779433E-1,.1940257E-1,0
IRIDIUM 33 DEB,1997-051PM,2026-07-07T16:45:32.836608,14.46034862,.00162929,86.3895,334.3862,170.9342,189.2157,0,U,35297,999,73416,.45224055E-3,.1633E-4,0
IRIDIUM 33 DEB,1997-051PP,2026-07-10T06:53:05.523072,14.42573693,.00571951,86.2876,301.8332,130.2523,259.8390,0,U,35299,999,89350,.80236889E-3,.2735E-4,0
IRIDIUM 33 DEB,1997-051QA,2026-07-08T14:43:22.929312,14.50747500,.00157097,86.3555,294.7220,126.9601,233.3045,0,U,35480,999,90044,.32299403E-3,.1293E-4,0
IRIDIUM 33 DEB,1997-051QE,2026-07-06T22:30:55.651968,15.17967349,.00148904,86.3413,254.5480,101.7984,258.4929,0,U,35484,999,65124,.17315571E-2,.35409E-3,0
IRIDIUM 33 DEB,1997-051QJ,2026-07-09T00:33:43.689312,14.87522896,.00253608,86.3242,204.4797,28.3106,331.9491,0,U,35488,999,91358,.5445312E-3,.4994E-4,0
IRIDIUM 33 DEB,1997-051QN,2026-07-10T03:34:30.029088,14.87591738,.00106807,86.3498,249.6601,150.3518,209.8315,0,U,35616,999,90682,.77544375E-3,.7078E-4,0
IRIDIUM 33 DEB,1997-051QQ,2026-06-27T13:14:56.038272,14.53076507,.00304968,86.3394,267.3674,78.4460,282.0167,0,U,35618,999,68251,.32047975E-3,.1353E-4,0
IRIDIUM 33 DEB,1997-051QS,2026-07-09T06:34:27.801696,14.42387337,.01282254,86.3856,129.2015,294.7944,63.9962,0,U,35620,999,62968,.11910291E-2,.4366E-4,0
IRIDIUM 33 DEB,1997-051QU,2026-07-07T09:09:03.977856,15.30351201,.0011189,86.1851,159.7939,153.5259,357.7055,0,U,35622,999,90490,.32410392E-2,.9634E-3,0
IRIDIUM 33 DEB,1997-051QX,2026-07-09T01:24:30.256992,14.31993373,.01015991,86.1901,291.5450,245.7922,236.3127,0,U,35625,999,69020,.71659624E-3,.2052E-4,0
IRIDIUM 33 DEB,1997-051RA,2026-07-09T23:48:16.757568,14.70731223,.00091057,86.3545,275.4759,340.3302,19.7561,0,U,35628,999,89519,.61961534E-3,.3802E-4,0
IRIDIUM 33 DEB,1997-051RD,2026-07-09T13:32:02.279328,14.47840200,.00183911,86.3668,291.0252,139.5350,280.2231,0,U,35631,999,90218,.12888933E-3,.498E-5,0
IRIDIUM 33 DEB,1997-051RJ,2026-07-05T01:26:28.154112,14.23217944,.0145471,86.1013,290.8765,349.2008,131.2650,0,U,35680,999,63605,.8156E-3,.2074E-4,0
IRIDIUM 33 DEB,1997-051RX,2026-07-09T08:28:22.936800,14.73735415,.00200995,86.3271,230.9243,189.2353,170.8498,0,U,35744,999,90401,.49329788E-3,.3256E-4,0
IRIDIUM 33 DEB,1997-051SF,2026-07-09T09:32:42.773856,14.88678996,.00131467,86.3330,233.5780,136.3402,223.8866,0,U,35797,999,90439,.93192791E-3,.8737E-4,0
IRIDIUM 33 DEB,1997-051SQ,2026-07-05T14:04:03.506880,14.59469709,.00156905,86.3420,290.2609,98.8856,261.4131,0,U,35806,999,89310,.13279112E-2,.6329E-4,0
IRIDIUM 33 DEB,1997-051ST,2026-07-01T22:18:25.871904,14.79993096,.00088392,86.3246,243.3531,259.7863,100.2362,0,U,35809,999,89779,.13074088E-2,.9921E-4,0
IRIDIUM 33 DEB,1997-051SW,2026-07-09T03:10:07.454208,14.43930744,.00172863,86.3766,329.8660,198.7775,161.2791,0,U,35846,999,74335,.36488253E-3,.1266E-4,0
IRIDIUM 33 DEB,1997-051SY,2026-07-09T23:58:15.437856,14.83671813,.00085346,86.3867,281.5821,175.2329,184.8977,0,U,35848,999,69788,.87465882E-3,.7252E-4,0
IRIDIUM 33 DEB,1997-051TA,2026-07-09T22:01:17.678208,14.83727378,.00099479,86.3459,248.6405,170.6816,189.4594,0,U,35850,999,74454,.71047719E-3,.5905E-4,0
IRIDIUM 33 DEB,1997-051TY,2026-07-07T10:41:41.992224,14.86411017,.00111506,86.3398,247.9953,178.0877,182.0392,0,U,35915,999,11151,.83030856E-3,.7362E-4,0
IRIDIUM 33 DEB,1997-051UB,2026-07-05T17:39:33.153696,14.52864470,.00251749,86.4027,347.7063,199.0553,221.6521,0,U,35918,999,88182,.11552263E-2,.4791E-4,0
IRIDIUM 33 DEB,1997-051UN,2026-07-05T19:11:20.567040,15.19668439,.00084935,86.3391,214.2681,3.7259,356.4045,0,U,35929,999,90876,.21882978E-2,.46964E-3,0
IRIDIUM 33 DEB,1997-051US,2026-07-09T15:22:33.055968,14.41971273,.00165097,86.3415,305.6689,249.2244,171.6617,0,U,36011,999,67550,.25788488E-3,.866E-5,0
IRIDIUM 33 DEB,1997-051UT,2026-07-11T01:16:13.058688,14.21457259,.0216086,86.4419,222.5089,311.3778,46.9003,0,U,36012,999,68470,.73815E-3,.2062E-4,0
IRIDIUM 33 DEB,1997-051VK,2026-07-05T18:42:07.044480,15.06128326,.00153431,86.3177,209.3863,39.8899,320.3461,0,U,36028,999,90200,.23218829E-2,.34179E-3,0
IRIDIUM 33 DEB,1997-051VM,2026-07-05T13:25:16.830048,14.47430522,.00173422,86.3205,278.6879,193.0831,166.9925,0,U,36080,999,50376,.54245203E-3,.2013E-4,0
IRIDIUM 33 DEB,1997-051VQ,2026-07-09T01:54:02.467872,14.43952449,.00241211,86.3439,304.4198,255.3376,104.5151,0,U,36083,999,88455,.26901578E-3,.941E-5,0
IRIDIUM 33 DEB,1997-051VU,2026-07-07T19:08:44.011968,14.76154496,.00298954,86.2901,204.2620,164.2649,195.9507,0,U,36390,999,69314,.41916379E-3,.2942E-4,0
IRIDIUM 33 DEB,1997-051VZ,2026-07-09T15:28:02.050752,14.46545527,.00104866,86.3807,323.0310,145.6907,214.4975,0,U,36483,999,68165,.29441963E-3,.1081E-4,0
IRIDIUM 33 DEB,1997-051WG,2026-07-08T11:47:23.020224,14.81256581,.00044138,86.3614,276.3150,88.1939,271.9788,0,U,36490,999,89555,.7435087E-3,.5819E-4,0
IRIDIUM 33 DEB,1997-051WK,2026-07-09T13:08:59.923392,14.68018215,.00093679,86.3559,278.6717,7.6546,352.4810,0,U,36493,999,77579,.55625175E-3,.3212E-4,0
IRIDIUM 33 DEB,1997-051WP,2026-07-05T15:58:19.175808,14.66421489,.0047362,86.1553,158.0137,137.6971,222.7912,0,U,36497,999,68652,.21192208E-2,.11949E-3,0
IRIDIUM 33 DEB,1997-051XG,2026-07-03T22:02:49.486848,14.28364736,.00778711,86.1710,248.1008,55.5849,305.2672,0,U,37136,999,67398,.6126666E-3,.16E-4,0
IRIDIUM 33 DEB,1997-051XH,2026-06-30T02:41:11.798304,14.52744813,.00227774,86.3500,316.5040,241.1042,118.7879,0,U,37548,999,68425,.89472118E-3,.3703E-4,0
IRIDIUM 33 DEB,1997-051XK,2026-07-10T00:31:34.986144,14.70271995,.0005579,86.3757,290.8660,113.9831,246.1969,0,U,37550,999,89405,.63568276E-3,.3858E-4,0
IRIDIUM 33 DEB,1997-051XX,2026-07-10T02:51:40.254624,14.58476903,.00260784,86.3745,312.1562,117.4418,2.7914,0,U,37562,999,89378,.55866781E-3,.2626E-4,0
IRIDIUM 33 DEB,1997-051YA,2026-07-10T12:34:38.752032,14.52439942,.00150924,86.3477,278.1147,98.4454,261.8464,0,U,37565,999,68881,.24687512E-3,.1029E-4,0
IRIDIUM 33 DEB,1997-051YD,2026-07-08T03:08:13.817472,14.53566294,.00787572,86.3307,75.5729,131.1032,229.7011,0,U,38017,999,64411,.15407394E-2,.6727E-4,0
IRIDIUM 33 DEB,1997-051YJ,2026-07-07T13:10:49.999584,14.42802459,.00460971,86.2675,285.7484,86.5651,274.0821,0,U,38022,999,72174,.6118533E-3,.2086E-4,0
IRIDIUM 33 DEB,1997-051YQ,2026-07-08T11:38:23.889408,14.46773131,.00294867,86.3256,269.9118,149.7984,210.4926,0,U,38028,999,68498,.18268034E-3,.685E-5,0
IRIDIUM 33 DEB,1997-051ZC,2026-07-07T16:57:19.257696,14.27617118,.00619615,86.2956,320.4699,243.0048,184.2067,0,U,38228,999,87734,.19742863E-3,.515E-5,0
IRIDIUM 33 DEB,1997-051ZR,2026-07-06T22:40:00.404832,14.56138694,.00059133,86.3200,259.5112,90.3179,269.8706,0,U,38241,999,63200,.42927617E-3,.1915E-4,0
IRIDIUM 33 DEB,1997-051AAB,2026-07-08T12:06:07.662240,14.51630404,.00288035,86.3442,279.4465,109.9099,250.5214,0,U,38474,999,68331,.37180171E-3,.1519E-4,0
IRIDIUM 33 DEB,1997-051AAE,2026-07-06T20:15:38.398752,13.62154182,.03948997,86.4061,29.2621,359.6210,0.4588,0,U,38477,999,57482,.18754932E-2,.2458E-4,0
IRIDIUM 33 DEB,1997-051AAJ,2026-07-10T23:37:39.220608,14.61572411,.005435,85.9579,72.4981,191.5780,168.4185,0,U,39777,999,63251,.68171E-3,.3479E-4,0
IRIDIUM 33 DEB,1997-051AAK,2026-07-10T07:13:58.302336,14.55895728,.00082578,86.3763,312.1365,54.6975,305.5004,0,U,39778,999,63740,.43508352E-3,.1931E-4,0
IRIDIUM 33 DEB,1997-051AAN,2026-07-04T05:16:51.041280,14.25510702,.0165466,86.3788,173.9014,343.3313,30.0613,0,U,39781,999,11001,.40228E-2,.10998E-3,0
IRIDIUM 33 DEB,1997-051ABJ,2026-07-09T23:06:19.254240,15.14735223,.00013844,86.3457,262.1446,35.8479,87.2346,0,U,40996,999,65636,.17446686E-2,.32447E-3,0
IRIDIUM 33 DEB,1997-051ABL,2026-07-10T03:09:08.253792,14.45811725,.00097042,86.3842,324.1722,102.7725,22.1135,0,U,40998,999,9706,.26093308E-3,.946E-5,0
IRIDIUM 33 DEB,1997-051ABN,2026-07-09T01:06:50.254272,14.39718700,.01981442,86.2739,103.5663,312.6150,105.3029,0,U,46435,999,10908,.10933332E-2,.4334E-4,0
IRIDIUM 33 DEB,1997-051ABR,2026-07-02T13:11:17.229408,14.43173540,.0039247,86.2619,274.1556,30.1181,27.4005,0,U,46734,999,65920,.87773E-3,.2995E-4,0
IRIDIUM 33 DEB,1997-051ABX,2026-07-09T09:53:04.458624,14.61729049,.00174723,86.3325,248.0146,342.6615,31.6211,0,U,46965,999,65315,.30187937E-3,.1529E-4,0
IRIDIUM 33 DEB,1997-051ACD,2026-06-11T11:54:57.932640,15.10943599,.00026668,86.3141,246.9992,51.4984,324.3215,0,U,46971,999,66948,.23538006E-2,.39423E-3,0
IRIDIUM 33 DEB,1997-051ACE,2026-07-11T02:08:54.235968,14.51571595,.0011331,86.3876,308.7970,119.3591,3.5278,0,U,46972,999,64623,.23805E-3,.974E-5,0
IRIDIUM 33 DEB,1997-051ACG,2026-07-06T18:17:44.571552,14.48584053,.00859716,86.3002,14.9696,220.3739,139.1064,0,U,46974,999,60487,.17190006E-2,.6792E-4,0
IRIDIUM 33 DEB,1997-051ACM,2026-07-04T02:23:46.240800,15.13879505,.0020231,86.3189,312.2213,211.0966,148.9078,0,U,46979,999,38479,.74541E-2,.137835E-2,0
